ref;Field2;Field4
D101;5060 LED;
D102;5060 LED;
D103;5060 LED;
D104;5060 LED;
D105;5060 LED;
D106;5060 LED;
J101;NC DF23C-10DS-0.5V;
J102;AXK7L10223G;SMD Connector
R101;100 Ohm;0603 100 ohm res
R102;100 Ohm;0603 100 ohm res
R103;NCR;NOT_ASSEMBLE - NOT_ASSEMBLE
R104;NCR;NOT_ASSEMBLE - NOT_ASSEMBLE
R105;NCR;NOT_ASSEMBLE - NOT_ASSEMBLE
R106;NCR;NOT_ASSEMBLE - NOT_ASSEMBLE
R107;0R 0603;Bourns - CR0603-J/-000ELF
R108;0R 0603;Bourns - CR0603-J/-000ELF
